Name,DisplayName,GivenName,Surname,SamAccountName,UserPrincipalName,EmployeeID,AccountPassword,Description,EmailAddress,Enabled,MobilePhone,Company,Office,Department,Division,Organization,OfficePhone,StreetAddress,City,State,Country,PostalCode,Path,ProfilePath
Randy Jiracek,Randy Jiracek,Randy,Jiracek,RJ6646,RJ6646@vcloud-lab.com,6646,RaBo@6646,Employee,Randy.Jiracek@vcloud-lab.com,$True,27.180.243.153,vcloud-lab.com,Management,Principle Architect,General Management,Managers,442685882,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Betsey Bowell,Betsey Bowell,Betsey,Bowell,BB6726,BB6726@vcloud-lab.com,6726,BeLi@6726,Employee,Betsey.Bowell@vcloud-lab.com,$True,142.28.249.236,vcloud-lab.com,Management,Manager,General Management,Managers,455453520,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Matty Limbert,Matty Limbert,Matty,Limbert,ML6734,ML6734@vcloud-lab.com,6734,MaBo@6734,Employee,Matty.Limbert@vcloud-lab.com,$True,96.48.39.211,vcloud-lab.com,Management,Manager,General Management,Managers,421243544,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Cory Borit,Cory Borit,Cory,Borit,CB6589,CB6589@vcloud-lab.com,6589,CoIr@6589,Employee,Cory.Borit@vcloud-lab.com,$True,185.187.54.152,vcloud-lab.com,Management,Assistant Manager,General Management,Managers,520317852,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Devora Ironmonger,Devora Ironmonger,Devora,Ironmonger,DI6445,DI6445@vcloud-lab.com,6445,DeKo@6445,Employee,Devora.Ironmonger@vcloud-lab.com,$True,92.53.10.219,vcloud-lab.com,HR Center,Manager,Voice President,Human Resource,760888147,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Michelina Kopfen,Michelina Kopfen,Michelina,Kopfen,MK6760,MK6760@vcloud-lab.com,6760,MiGr@6760,Employee,Michelina.Kopfen@vcloud-lab.com,$True,247.250.66.1,vcloud-lab.com,HR Center,consultant,Assistant President,Human Resource,386276841,2392 Cameron Road,HIGH BRIDGE,Wisconsin,US,54846,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Gan Grigg,Gan Grigg,Gan,Grigg,GG6573,GG6573@vcloud-lab.com,6573,GaNe@6573,Employee,Gan.Grigg@vcloud-lab.com,$True,43.255.125.42,vcloud-lab.com,HR Center,consultant,Assistant President,Human Resource,171277326,2392 Cameron Road,HIGH BRIDGE,Wisconsin,US,54846,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Dolley Newiss,Dolley Newiss,Dolley,Newiss,DN6572,DN6572@vcloud-lab.com,6572,DoMa@6572,Employee,Dolley.Newiss@vcloud-lab.com,$True,245.145.74.40,vcloud-lab.com,Employees,Sr. Manager,Operations,Operation Management,650086587,2392 Cameron Road,HIGH BRIDGE,Wisconsin,US,54846,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Richard Mallion,Richard Mallion,Richard,Mallion,RM6582,RM6582@vcloud-lab.com,6582,RiDu@6582,Employee,Richard.Mallion@vcloud-lab.com,$True,14.157.158.121,vcloud-lab.com,Employees,General Manager,Operations,Operation Management,103388359,4570 East Avenue,Phoenix,Arizona,US,85016,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Loree Durrance,Loree Durrance,Loree,Durrance,LD6320,LD6320@vcloud-lab.com,6320,LoPl@6320,Employee,Loree.Durrance@vcloud-lab.com,$True,52.124.132.13,vcloud-lab.com,Employees,Sr. Manager,Operations,Operation Management,436549725,4570 East Avenue,Phoenix,Arizona,US,85016,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Audre Plowright,Audre Plowright,Audre,Plowright,AP6790,AP6790@vcloud-lab.com,6790,AuSt@6790,Employee,Audre.Plowright@vcloud-lab.com,$True,193.209.96.139,vcloud-lab.com,Employees,Assistant Manager,Operations,Operation Management,525080049,2392 Cameron Road,HIGH BRIDGE,Wisconsin,US,54846,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Adolphe Stonebanks,Adolphe Stonebanks,Adolphe,Stonebanks,AS6392,AS6392@vcloud-lab.com,6392,AdWi@6392,Employee,Adolphe.Stonebanks@vcloud-lab.com,$True,229.67.213.136,vcloud-lab.com,Employees,Assistant Manager,Operations,Operation Management,623035933,2392 Cameron Road,HIGH BRIDGE,Wisconsin,US,54846,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Angus Wildber,Angus Wildber,Angus,Wildber,AW6751,AW6751@vcloud-lab.com,6751,AnCh@6751,Employee,Angus.Wildber@vcloud-lab.com,$True,171.100.120.90,vcloud-lab.com,Employees,Team Leader,Operations,Operation Management,583214197,2392 Cameron Road,HIGH BRIDGE,Wisconsin,US,54846,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Dilly Cherrie,Dilly Cherrie,Dilly,Cherrie,DC6585,DC6585@vcloud-lab.com,6585,DiAl@6585,Employee,Dilly.Cherrie@vcloud-lab.com,$True,244.221.61.195,vcloud-lab.com,Employees,Team Leader,Operations,Operation Management,459827885,4570 East Avenue,Phoenix,Arizona,US,85016,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Bjorn Aleixo,Bjorn Aleixo,Bjorn,Aleixo,BA6526,BA6526@vcloud-lab.com,6526,BjWa@6526,Employee,Bjorn.Aleixo@vcloud-lab.com,$True,45.69.180.213,vcloud-lab.com,Employees,Team Leader,Operations,Operation Management,655973340,4570 East Avenue,Phoenix,Arizona,US,85016,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Nev Waycott,Nev Waycott,Nev,Waycott,NW6359,NW6359@vcloud-lab.com,6359,NeCo@6359,Contractor,Nev.Waycott@vcloud-lab.com,$False,53.37.98.28,vcloud-lab.com,Employees,Associate consultant,Operations,Operation Management,104343450,4570 East Avenue,Phoenix,Arizona,US,85016,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Elberta Cowles,Elberta Cowles,Elberta,Cowles,EC6689,EC6689@vcloud-lab.com,6689,ElGr@6689,Contractor,Elberta.Cowles@vcloud-lab.com,$False,191.142.102.229,vcloud-lab.com,Employees,Associate consultant,Operations,Operation Management,139579409,4570 East Avenue,Phoenix,Arizona,US,85016,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Fabe Greenstock,Fabe Greenstock,Fabe,Greenstock,FG6746,FG6746@vcloud-lab.com,6746,FaHu@6746,Contractor,Fabe.Greenstock@vcloud-lab.com,$False,52.189.0.143,vcloud-lab.com,Employees,Associate consultant,Operations,Operation Management,496540836,4570 East Avenue,Phoenix,Arizona,US,85016,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Maxwell Huthart,Maxwell Huthart,Maxwell,Huthart,MH6477,MH6477@vcloud-lab.com,6477,MaBu@6477,Contractor,Maxwell.Huthart@vcloud-lab.com,$False,111.198.155.77,vcloud-lab.com,Employees,Associate consultant,Operations,Operation Management,959007820,4570 East Avenue,Phoenix,Arizona,US,85016,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Mabel Bulleyn,Mabel Bulleyn,Mabel,Bulleyn,MB6446,MB6446@vcloud-lab.com,6446,MaMc@6446,Contractor,Mabel.Bulleyn@vcloud-lab.com,$False,85.104.218.52,vcloud-lab.com,Employees,Associate consultant,Operations,Operation Management,131990016,4570 East Avenue,Phoenix,Arizona,US,85016,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Inness McTrustie,Inness McTrustie,Inness,McTrustie,IM6756,IM6756@vcloud-lab.com,6756,InNe@6756,Contractor,Inness.McTrustie@vcloud-lab.com,$False,74.96.11.91,vcloud-lab.com,Employees,Associate consultant,Operations,Operation Management,619445895,4570 East Avenue,Phoenix,Arizona,US,85016,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Lidia Negro,Lidia Negro,Lidia,Negro,LN6485,LN6485@vcloud-lab.com,6485,LiDy@6485,Contractor,Lidia.Negro@vcloud-lab.com,$False,152.138.253.130,vcloud-lab.com,Employees,Associate consultant,Operations,Operation Management,646017124,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Ingemar Dyne,Ingemar Dyne,Ingemar,Dyne,ID6308,ID6308@vcloud-lab.com,6308,InSl@6308,Contractor,Ingemar.Dyne@vcloud-lab.com,$False,19.22.225.238,vcloud-lab.com,Employees,Engineer,Operations,Operation Management,132200694,4570 East Avenue,Phoenix,Arizona,US,85016,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Rozanna Slowgrave,Rozanna Slowgrave,Rozanna,Slowgrave,RS6547,RS6547@vcloud-lab.com,6547,RoCr@6547,Contractor,Rozanna.Slowgrave@vcloud-lab.com,$False,89.238.202.38,vcloud-lab.com,Employees,Engineer,Operations,Operation Management,593421042,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Sheena Craker,Sheena Craker,Sheena,Craker,SC6772,SC6772@vcloud-lab.com,6772,ShDe@6772,Employee,Sheena.Craker@vcloud-lab.com,$True,244.105.52.134,vcloud-lab.com,Employees,Analyst,Operations,Operation Management,700474205,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Montague De Freyne,Montague De Freyne,Montague,De Freyne,MD6432,MD6432@vcloud-lab.com,6432,MoBu@6432,Employee,Montague.De Freyne@vcloud-lab.com,$True,208.207.137.32,vcloud-lab.com,Employees,Analyst,Operations,Operation Management,173592866,2392 Cameron Road,HIGH BRIDGE,Wisconsin,US,54846,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Jyoti Bunning,Jyoti Bunning,Jyoti,Bunning,JB6392,JB6392@vcloud-lab.com,6392,JyCu@6392,Employee,Jyoti.Bunning@vcloud-lab.com,$True,220.226.15.211,vcloud-lab.com,Employees,Analyst,Operations,Operation Management,528359150,2392 Cameron Road,HIGH BRIDGE,Wisconsin,US,54846,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Charyl Cubley,Charyl Cubley,Charyl,Cubley,CC6715,CC6715@vcloud-lab.com,6715,ChTu@6715,Employee,Charyl.Cubley@vcloud-lab.com,$True,222.179.125.230,vcloud-lab.com,Employees,Analyst,Operations,Operation Management,545932297,2392 Cameron Road,HIGH BRIDGE,Wisconsin,US,54846,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Cash Turmel,Cash Turmel,Cash,Turmel,CT6627,CT6627@vcloud-lab.com,6627,CaHo@6627,Employee,Cash.Turmel@vcloud-lab.com,$True,149.118.121.114,vcloud-lab.com,Employees,Officer,Operations,Operation Management,245064263,4570 East Avenue,Phoenix,Arizona,US,85016,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Zandra Hodgets,Zandra Hodgets,Zandra,Hodgets,ZH6260,ZH6260@vcloud-lab.com,6260,ZaHo@6260,Employee,Zandra.Hodgets@vcloud-lab.com,$True,16.4.195.214,vcloud-lab.com,Employees,Officer,Operations,Operation Management,961748209,4570 East Avenue,Phoenix,Arizona,US,85016,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Elnore Howson,Elnore Howson,Elnore,Howson,EH6231,EH6231@vcloud-lab.com,6231,ElJa@6231,Employee,Elnore.Howson@vcloud-lab.com,$True,78.169.227.184,vcloud-lab.com,Employees,Officer,Operations,Operation Management,200390361,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Manya Jacmar,Manya Jacmar,Manya,Jacmar,MJ6224,MJ6224@vcloud-lab.com,6224,Ma@6224,Employee,Manya.Jacmar@vcloud-lab.com,$True,248.171.96.60,vcloud-lab.com,Employees,Officer,Operations,Operation Management,685827400,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
